itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
7457-1	"Melissa..."""	"Melissa...,"""	script identifiable	punctuation	1	minor	1	0	0	0	0	0	0	1	0	0	0	0	0
7459-1	"me?"""	"me? """	script identifiable	whitespace	1	minor	1	0	0	0	0	1	0	0	0	0	0	0	0
7462-1	5	five	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
7466-1	"""Yeah,"""	"""Yeah."""	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
7470-1	"sighed, ""Me"	"sighed. ""Me,"	script identifiable	punctuation	2	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7471-1	added,	added.	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
7485-1	"""No,"""	"""No."""	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
7492-1	original production 8-track	original-production eight-track	script identifiable	numbers	6	major	4	0	0	0	0	0	0	0	0	1	0	0	0
7496-1	1973	1976	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
7497-1	"""1973"	"""1976"	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
7501-1	shudder,	Shudder,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7506-1	"""14/4"	"""Fourteen and a half"	script identifiable	numbers	19	major	15	2	0	0	0	0	0	0	0	1	0	0	0
7508-1	customs	customs,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7508-2	Government officials... it's	government officials.... It's	other	tbc	3	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
7510-1	travellers.	travelers.	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7512-1	continued forward	moved toward the long immigration line	other	expansion	32	major	21	4	0	0	0	0	0	0	0	0	0	1	0
7516-1	casual attire.	jeans and a polo shirt.	other	expansion	15	major	9	3	0	0	0	0	0	0	0	0	0	1	0
7523-1	take	get	other	tbc	4	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7523-2	"a hotel to sleep."""	"our hotel."""	other	condensation	12	major	-7	-2	0	0	0	0	0	0	0	0	1	0	0
7524-1	"Dr. Kapoor,"""	"Dr.Kapoor."""	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7526-1	pre-authorized	preauthorized	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
7530-1	"along,"""	"along."""	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
7537-1	"""Can't"	"""Can't,"	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7537-2	"helped,"" she"	"helped."" She"	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7539-1	"fine,"" she"	"fine."" She"	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7540-1	is adjusting to life	has a crush on a new boy	other	expansion	17	major	4	3	0	0	0	0	0	0	0	0	0	1	0
7540-2	junior high,	her class,	other	tbc	10	major	-2	0	0	0	0	0	0	0	0	0	0	0	1
7540-3	is	has been named	other	expansion	13	major	12	2	0	0	0	0	0	0	0	0	0	1	0
7553-1	My last few visits, she didn't	She did not	other	condensation	23	major	-19	-4	0	0	0	0	0	0	0	0	1	0	0
7553-2	me.	me on my last visit.	other	expansion	17	major	17	4	0	0	0	0	0	0	0	0	0	1	0
7557-1	He	he	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7562-1	"""Will"	"""will"	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7563-1	said.		other	deletion	5	minor	-5	-1	0	1	0	0	0	0	0	0	0	0	0
